"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0372"	197.6	219.48	203.17	134.46	160.05	162.91	167.74	179.06	132.47	261.38	217.44	182.67	448.63	331.1	305.45	325.01	260.08	428.53	202.68	143.01	208.45	241.53	277.15	227.97	355.18	357.21	292.98	328.61	301.45	306.44	255.09	276.33	219.02
"gene-HI_0373"	315.42	282.29	262.89	162.76	205.42	156.75	178.28	239.61	184.05	69.16	116.6	208.85	115.57	80.84	331.74	89.15	73.39	375.83	62.52	56.7	235.28	64.82	64.57	213.28	88.87	89.55	303.16	88.3	81.55	250.85	73.01	78.62	199.18
"gene-HI_0374"	293.98	317.72	307.76	200.73	234.91	204.81	209.82	301.84	228.99	282.39	314.06	231.68	276.31	269.93	311.29	314.29	255.58	348.28	247.91	161.74	167.02	249.43	208.5	227.22	330.86	261.39	301.98	296.35	247.78	271.47	239.93	198.35	200.8
"gene-HI_0375"	583.38	584.84	571.83	385.64	456.1	406.24	455.87	545.31	453.83	704.87	723.98	447.73	582.29	630.45	630.73	656.6	505.71	739.49	505.1	348.35	290.39	582.51	396.47	484.34	725.89	480.2	641.17	641.17	500.59	577.98	498.38	430.52	416.73
"gene-HI_0376"	419.96	403.49	387.14	277.57	304.58	290.6	320.78	337.25	308.31	368.85	465.37	317.68	308.22	405.16	422.8	377.81	315.83	527.99	305.79	231.35	207.84	300.83	206.9	355.43	372.63	309.62	481.74	298.33	288.53	449.68	276.42	262.8	332.65
"gene-HI_0377"	1084.65	1180.8	1074.85	657.7	880.23	749.33	808.99	791.88	842.54	872.05	978.52	803.51	1100.89	1097.27	1168.14	899.71	1025.8	1449.84	505.91	571.08	552.85	805.97	892	950.43	838.5	1041.97	1271.98	787.46	970.03	1221.37	449.71	693.23	750.15
"gene-HI_0378"	776.87	730.7	727.22	398.93	486.79	464.75	520.71	457.27	423.84	650.17	638.34	546.73	755.4	873.56	819.57	842.23	820.88	1110.98	422.52	446.88	270.75	537.57	579.4	692.57	759.42	714.76	872.77	632.23	696.39	984.55	427.66	455.67	558.39
"gene-HI_0379"	637.42	483.33	490.46	203.73	229.57	202.4	249.91	204.88	164.6	224.56	289.65	232.01	226.87	214.38	360.05	221.64	171.28	457.65	106.53	160.84	230.71	227.88	230.68	297.58	215.14	216.44	369.74	177.98	185.48	345.29	144.03	139.18	208.1
"gene-HI_0380"	157.59	168.78	162.43	97.33	106.67	96.47	113.41	103.39	80.42	82.42	88.05	102.98	83.55	88.27	128.01	132.85	100.24	203.17	86.4	135.99	190.21	96.37	81.96	98.08	87.26	78.84	109.47	113.59	79.85	139.09	117.69	73.58	83.84
"gene-HI_0381"	6680.05	6315.89	6827.01	8006.88	7294.15	6575.09	8826.26	7617.3	8694.42	7370.14	5931.04	7375.08	12741.19	9376.79	12354.85	13309.48	10894.06	13386.81	7343.65	8920.75	17301.74	8071.02	7380.81	7260.4	12225.54	10630.17	12090.73	14096.8	12198.05	13116.38	8114.71	6172.26	7077.9
"gene-HI_0382"	646.59	599.32	630.77	692.33	622.47	571.8	699.15	620.25	780.84	388.58	394.09	640.7	384.11	307.53	617.03	377.71	287.59	626.59	299.66	278.19	765.83	424.61	387.83	643.91	371.22	332.94	729.36	367.55	334.91	640.43	300.51	288.7	444.83
"gene-HI_0383"	78.62	76.97	75.4	48.17	68.05	54.39	47.77	67.73	72.57	21.69	29.95	67.15	13.62	12.52	67.99	13.87	14.62	41.19	19.72	11.23	54.24	29.12	23.06	63.63	16.62	14.53	39.95	20.02	15.23	25.7	29.22	26.23	59.43
"gene-HI_0384"	202.63	197.95	211.85	130.01	147.68	157.34	154.57	162.04	150.07	111.18	127.8	184.08	57.07	57.73	103.71	57.47	52.03	78.82	95.27	51.39	102.61	141.8	89.78	181.3	71.53	59.09	97.76	74.34	49.7	65.5	117.93	101.53	112.05
"gene-HI_0385"	468.67	514.87	477.05	346.67	371.57	356.74	349.63	384.36	325.7	277.37	309.05	385.77	117.95	113.86	170.57	110.13	96.82	160.11	206.46	94.92	161.8	367.06	328	402.37	152.35	155.44	204.03	138.02	136.29	129.93	233.5	234.27	225.16
"gene-HI_0386"	550.58	564.42	580.6	455.35	475.68	441.53	508.66	468.51	492.21	486.63	449.05	527.31	234	167.65	248.66	172.48	175.43	200.6	346.22	232.9	367.44	530.73	588.29	482.04	269.18	270.87	279.3	264.85	216.49	185.43	450.38	357.28	310.45
"gene-HI_0387"	111.73	108.39	110.35	84.43	85.04	76.91	75.34	90.46	84.19	94.72	93.88	70.28	97.86	97.5	93.17	89.39	127.75	74.85	98.81	154.59	89.08	92.48	70.73	78.13	89.48	72.43	79.55	98.65	82.58	81.99	104.28	84.64	84.81
"gene-HI_0388"	143.06	131.73	131.43	127.54	121.24	111.1	120.84	120.86	118.92	77.4	87.86	112.86	85.58	77.31	147.9	91	76.63	137.61	87.96	117.72	101.53	79.2	77.54	127.39	67.19	74.11	143.22	78.33	72.76	136.77	68.51	91.54	138.39
"gene-HI_0389"	116.46	134.54	123.76	129.56	121.78	109.11	125.64	122.84	122	116.96	119.99	104.28	174.76	197.84	165.68	161.68	197.76	161.5	152.61	171.1	70.59	128.77	122.54	110.17	151.46	137.25	191.22	163.71	142.83	177.37	136.22	157.82	161.12
"gene-HI_0390"	58.13	66.02	66.64	57.77	49.19	48.9	55.86	66.59	67.88	52.4	54.81	46.47	127.7	146.39	132.31	154.91	159.08	130.42	121.94	77.11	85.15	61.05	51.41	51.58	115.08	84.4	108.21	140.38	107.81	133.88	126.76	87	108.02
"gene-HI_0390.1"	145.27	134.59	128.55	147.19	119.4	132.7	143.94	135.57	128.55	133.4	148.41	138.84	182.03	177.19	169.68	162.66	214.53	154.25	176.85	135.51	83.57	139.44	143.3	138.72	141.5	143.42	172.05	158.56	161.42	164.35	163.07	162.64	169.31
"gene-HI_0391"	35.5	38.89	39.16	24.86	22.02	20.55	26.3	24.95	22.89	30.78	30.22	31.68	25.63	42.72	42.01	63.36	29.46	55.34	42.53	29.86	36.63	42.42	23.67	20.69	39.25	19.1	24.6	66.51	30.64	59.04	51.79	26.3	34.59
"gene-HI_0392"	152.55	168.11	155.75	136.08	133.95	132.55	123.24	129.84	116.49	23.12	21.59	128.97	12.49	18.89	69.84	32.29	10.3	71.26	17.62	11.35	40.63	26.05	21.31	123.65	13.68	20.13	81.3	15.18	15.97	58.22	56.27	13.41	69.05
"gene-HI_0393"	398.59	413.94	413.8	365.41	365.88	351.28	346.98	335.35	295.91	440.03	390.5	376.16	397.34	308.12	292.32	376.41	189.27	301.13	322.83	249.54	118.56	398.22	438.11	390.31	371.71	361.54	297.81	465.89	480.58	228.41	336.7	340.15	274.24
"gene-HI_0394"	315.88	312.99	332.97	258.33	239.18	231.6	231.45	215.77	193.12	360.51	301.7	244.29	226.78	194.13	157.35	262.3	139.87	215.07	210.21	239.6	183.25	320.31	351.04	246.26	264.47	242.44	169.69	318.52	304.72	122.47	238.15	226.79	154.22
"gene-HI_0395"	165.61	152.44	149.63	124.22	121.75	106.59	110.62	115.29	104.28	211	153.81	109.2	238.38	172.97	133.32	176.58	174.77	132.22	166.24	201.9	249.31	188.98	180.79	124.78	175.33	173.64	147.94	193.89	169.37	139.33	150.85	131.86	123.63
"gene-HI_0396"	144.76	124.77	116.51	103.28	107.21	100.89	116.78	125.27	118.44	158.42	152.12	117.62	236.99	222.55	217.95	301.91	332.92	236.59	205.14	311.01	106.12	127.2	143.58	128.01	178.52	191.53	162.26	219.15	277.18	203.03	181.36	235.85	200.95
"gene-HI_0397"	137.5	124.07	105.43	92.79	112.25	91.95	98.01	127.96	122.64	91.57	117.38	104.4	156.31	124.02	195.39	167.64	175.97	166.74	141.93	150.9	57.14	82.53	84.87	113.7	109.75	131.87	145.94	137.56	160.7	148.15	111.44	153.56	169.61
"gene-HI_0398"	133.02	131.52	115.16	204.96	218.09	184.19	201.16	253.2	300.55	90.39	116.44	147.55	464.61	457.1	930.52	354.18	428.33	704.47	270.08	297.32	438.77	62.34	65.46	145.43	282.41	344.33	766.89	336.17	383.71	809.9	277.2	328.6	520.68
"gene-HI_0399"	120.92	127.69	117.35	183.96	140.09	133.36	157.46	192.08	159.75	151.75	145.51	112.39	866.96	677.31	665.61	730.32	963.69	614.33	508.67	426.24	155.85	108.81	117.1	114.67	551.93	580.66	588.37	653.77	642.75	734.81	477.41	496	465.52
"gene-HI_0400"	310.35	349	349.19	402.23	401.5	410.92	432.41	474.96	538.4	289.25	271.52	363.95	459.29	481.95	645.04	664.49	624.38	826.42	545.59	548.04	977.66	257.73	264.39	387.04	454.05	399.3	443.05	620.09	568.9	628.82	569.73	471.49	549.62
"gene-HI_0401"	4246.57	4183.6	4191.13	4099.21	4341.14	4522.86	4365.65	4285.68	4390.86	2312.59	2367.18	4319.02	2686.89	2177.65	5122.85	2231.38	2202.63	4163.75	1876.61	2325.02	1882.5	2095.46	2042.01	4563.32	2399.16	2365.48	5721.88	2189.75	2205.14	5614.45	1690.09	2126.35	3952.02
"gene-HI_0402"	166.51	160.25	157.2	108.56	103.61	101.54	117.92	126.92	116.63	45.85	55.6	117.61	58.09	60.07	149.46	85.13	78.29	183.37	79.1	72.16	261.36	58.39	50.87	117.04	55.98	53.38	120.96	77.52	70.89	127.06	82.79	76.08	143.04
"gene-HI_0403"	133.84	128.09	116.21	80.22	69.6	62.55	65.65	84.46	69.43	46.49	60.1	72.57	79.28	61.94	111.46	95.38	100.13	133.91	98.52	72.78	87.65	51.59	52.86	67.18	68.25	67.36	81.31	87.1	87.04	102.16	85.06	85.35	116.6
"gene-HI_0404"	109.46	117.95	119.4	173.43	139.1	119.56	164.91	238.28	183.82	76.26	91.97	99.12	140.43	112.56	147.33	128.48	142.5	149.16	227.75	103.9	80.97	69.65	53.86	113.79	151.75	140.17	209.55	158.05	145.59	183.51	203.86	226.4	219.19
"gene-HI_0405"	146.35	139.99	155.21	251.36	220.09	182.7	300.95	365.2	278.08	63.28	93.7	177.48	245.81	162.53	312.71	284.36	210.29	415.29	449.92	243.19	90.72	56.13	60.23	170.94	201.03	227.08	438.2	238.1	304.16	441.92	412.34	605.21	754.88
"gene-HI_0406"	506.02	479.08	428.29	439.38	437.6	420.49	451.05	453.02	309.11	248.41	329.95	490.03	189.8	183.14	339.94	162.82	197.2	221.67	191.73	244.41	303.83	256.5	251.14	470.51	194.44	193.85	445.3	170.98	154.06	309.65	206.86	189.22	341.78
"gene-HI_0407"	221.28	249.14	241.72	180.62	160.91	168.6	170.07	167.54	110.85	252.53	191.58	146.1	147.18	132.97	107.33	87.48	91	79.3	122.79	106.26	76.76	202.36	205.8	171.51	157.6	157.65	139.13	116.34	98.49	76.13	148.88	125.06	103.89
"gene-HI_0408"	215.69	216.73	218.34	184.54	158.61	177.15	169.5	158.85	139.04	221.04	193.8	175.91	204.8	185.34	150.45	135.47	149.47	138.12	154.88	203.14	155.76	231.24	224.22	191.04	204.92	195.24	170.52	161.6	150.73	115.66	181.17	158.69	140.07
"gene-HI_0409"	210.11	214.41	256.49	272.95	194.58	176.91	222.8	255.5	228.77	220.1	209.74	166.53	200.82	161.09	177.71	97.87	141.77	187.51	312.98	207.54	335.88	213.21	187.01	177.87	211.21	175.08	102.94	172.17	168.42	172.63	423.15	289.88	314.09
"gene-HI_0410"	109.73	108.8	110.36	124.96	125.49	114.45	120.92	144.92	143.91	112.07	115.21	112.39	161.24	145.87	185.67	151.44	131.67	172.08	192.8	189.67	206.97	138.63	110.97	112.2	153.5	119.34	98.62	160.8	130.25	116.55	212.66	148.48	145.33
"gene-HI_0411"	1015.97	1186.27	1255.47	1969.83	1566.52	1586.36	1715.34	1560.26	1552.32	2378.59	1547.42	1313.63	1670.56	1949.63	1655.75	3150.16	2805.95	2567.71	2078.52	3868.43	3275.21	2094.48	1155.67	1547.78	1950.04	1136.96	1318.88	3435.65	2215.37	2096.17	2368.26	1474.26	1721.91
"gene-HI_0412"	192.65	197.92	194.27	151.43	137.63	139.6	137.54	132.1	127.63	215	182.55	150.41	215.63	210.94	179.41	253.07	233.46	234.81	195.33	279.24	314.48	190.88	187.99	146.03	194.1	165.3	136.01	264.97	237.58	169.14	219.83	175.39	156.93
"gene-HI_0413"	590.47	605.67	586.86	544.04	521.96	542.54	490.34	483.72	417.01	685.24	622.21	580.99	469.2	411.43	328.58	424.73	391.7	347.03	670.57	405.89	191.33	581.08	684.63	550.94	499.04	543.5	462.13	549.61	638.59	397.2	597.16	659.39	485.39
"gene-HI_0414"	221.17	224.88	225.89	172.91	220.65	233.44	229.52	208.78	227.23	195.55	154.55	219.65	177.24	145.47	218.85	254.73	232.3	367.39	169.81	218.93	446.82	199.59	208.67	222.87	158.4	155.49	115.88	290.28	188.95	147.49	245.19	164.55	149.4
"gene-HI_0415"	183.86	152.79	142.33	195.55	242.8	227.05	287.8	261.01	193.82	13.25	30.4	130.52	4.26	5.71	56.44	4.58	5.67	70.89	33.62	16.78	80.11	8.56	9.28	156.05	2.24	3.29	41.14	3.75	3.2	50.1	13.22	23.87	211.15
"gene-HI_0416"	133.54	118.27	112.96	138.85	163.81	157.25	193.74	207.77	118.87	29.57	40.72	101.75	14.98	8.32	44.41	11.52	11.41	58.2	67.71	16.87	54.54	18.65	18.82	101.3	9.35	6.58	29.13	8.62	7.42	44.02	26.79	32.39	159.19
"gene-HI_0417"	127.75	91.36	86.44	82.85	127.99	117.03	149.22	150.8	112.9	16.58	18.83	75.92	6.56	3.01	36.76	4.77	7.21	48.61	30.12	9.5	44.56	7.04	8.74	85.89	3.89	3.34	21.88	3.49	4.3	33.2	12.2	14.34	124.43
"gene-HI_0418"	96.18	78.88	79.98	82.29	97.89	103.27	134.41	143	113.64	25.57	30.69	71.1	14.59	12.53	40.33	14.19	16.19	45.36	61.52	21.14	65.6	19.17	19.88	68.32	9.57	11.57	25.99	12.67	12.18	35.37	30.06	36.42	133.13
"gene-HI_0419"	571.16	585.35	590.67	336.44	346.12	374.97	310.81	257.28	160.44	532.83	429.07	414.15	250.72	259.39	168.03	230.48	141.37	194.97	170.16	294.7	229.95	514.83	628.01	417.49	343.67	355.48	195.75	300.53	348.02	138.4	172.8	207.11	164.17
"gene-HI_0420"	332.75	418.64	413.58	221.98	320.85	315.73	236.48	278.45	245.33	356.44	259.12	327.34	409.22	415.77	365.3	608.84	434.79	561.85	465.47	660	705.11	379.93	335.99	294.71	382.74	311.97	232.84	696.55	599.2	307.79	501.05	414.67	408.8
"gene-HI_0421"	299.95	387.07	354	211.21	271.14	291.94	255.73	247.18	250.76	334.47	283.64	311.61	331.73	558.15	366.73	864.19	467.9	659.66	586.03	801.47	392.88	343.04	271.59	296.31	390.29	262.69	213.09	765.26	607.98	340.51	677.02	446.2	461.7
"gene-HI_0422"	326.77	339.11	360.28	277.64	273.07	251.12	261	271.61	245.04	313.9	303.32	259.13	360.62	308.45	281.4	386.23	365.73	351.1	324.79	380.17	214.4	288.31	306.64	263.01	304.57	318.63	269.65	383.45	374.42	306.95	342.48	311.23	299.71
"gene-HI_0423"	94.92	102.55	107.12	68.12	70.4	67.7	68.53	68.13	71.49	108.79	91.15	66.41	127.25	117.42	86.69	123.58	136.07	117.36	106.13	148.64	102.33	103.2	99.77	72.18	108.66	95.6	70.53	145.36	120.16	102.42	104	88.14	88.76
"gene-HI_0424"	191.45	182.08	188.26	137.07	149.03	147.93	138.88	127.15	105.34	170.06	170.76	161.82	178.75	161.16	141.67	198.99	165.73	187.89	155.56	216.91	206.1	161.86	194.18	174.17	160.68	157.81	138.32	196.72	210.19	130.65	146.81	148.49	164.75
"gene-HI_0425"	624.67	627.36	664.27	593.12	552.7	529.63	576.18	523.12	483.58	595.12	518.91	477.9	429.55	422.18	412.15	428.87	334.46	406.4	360.25	494.46	368.72	604.28	490.02	546.01	495.32	422.04	523.5	444.24	374.56	379.41	422.67	318.7	373.02
"gene-HI_0426"	233.29	261.98	274.81	287.94	264.15	263.75	283.86	270.82	258.76	303.96	264.32	235.64	326.57	332.51	286.83	339.59	383.07	294.36	327.05	471.44	321.05	300.19	238.36	267.5	298.08	256.98	322.65	327.24	284.84	337.48	349.06	242.69	273.34
"gene-HI_0427"	178.09	190.78	185.85	200.24	187.72	198.68	213.04	192.06	185.21	212.17	188.74	212.16	173.13	258.11	196.35	221.19	239.65	206.98	243.66	141.29	100.94	197.38	163.39	207.81	207.42	180.23	226.81	204.42	190.38	263.64	268.77	221.87	248.84
"gene-HI_0428"	491.5	479.89	478.64	599.18	599.36	592.48	625.83	598.35	549.24	474.14	497.38	584.79	373.65	494.87	508.63	456.75	564.24	425.51	651.43	245.26	138.55	440.76	338.62	597.4	491.26	413.53	589.81	492.88	439.84	669.25	689.64	594.52	676.34
"gene-HI_0429"	1685.09	1629.71	1594.85	1901.14	1833.07	1824.98	1981.77	1916.62	1689.67	1355.17	1440.55	1943.73	1755.54	1699.31	2448.8	1831.53	2147.37	2367.43	2136.43	1148.02	351.3	1269.04	1186.08	1964.37	1635.99	1718.34	2328.56	1904.46	2099.23	2955.07	2002.74	2303.49	2809.34
"gene-HI_0430"	1752.04	1722.58	1827.2	2544.28	2456.06	2356.24	2798.61	2667.61	2636.04	2623.38	1973.9	2407.5	4918.97	4377.65	4911.78	5582.1	5843.99	6106.55	4662.16	4405.79	2347.09	2191.12	2113.54	2574.77	4041.2	3755.87	4482.57	5678.39	5031.99	5874.45	4692.08	3966.81	4504.57
"gene-HI_0431"	182.55	187.36	184.52	145.02	149.11	140.1	137.19	147.48	138.05	194.62	168.56	142.97	218.89	193.72	182.76	210.9	211.1	170.87	165.63	189.4	180.18	205.31	164.59	167.09	181.89	154.66	194.76	173.54	135.82	141.47	173.32	137.42	162.81
"gene-HI_0432"	121.78	118.96	96.77	65.18	67.15	59.97	56.74	63.82	45.07	66.9	80.07	73	41.02	45.29	56.53	36.87	37.66	41.11	57.24	46.74	43.14	69.43	75.92	77.93	49.18	50.89	54.48	42.36	42.41	34.92	33.13	46.22	66.56
"gene-HI_0433"	398.07	441.04	412.29	391.67	396.55	380.75	398.9	410.2	371.13	527.42	490.84	348.77	751.02	649.14	517.03	702.61	638.7	569.76	609.53	542.95	251.16	469.92	542.92	370.29	594.73	657.07	495.46	629.37	704.34	600.44	557.46	593.79	532.17
"gene-HI_0434"	34.34	32.98	34.07	28.86	28.74	24.63	24.96	30.89	32.22	26.47	30.27	29.45	57.95	46.53	71.27	350.55	316.14	340.08	264.35	199.97	85.62	31.51	20.86	27.9	40.51	32.04	46.12	38.36	42.33	48.06	41.53	41.36	52.65
"gene-HI_0435"	10.9	11.25	12.05	10.48	11.78	10.28	10.55	15.19	14.06	13.71	10.92	10.81	35.98	20.79	25.71	218.14	212.53	213.35	210.65	96.05	37.04	14.8	13.43	11.67	14.77	14.17	14.15	15.77	13.86	17.14	24.55	18.54	24.46
"gene-HI_0436"	1.86	3.4	4.69	3.49	0.96	2.56	3.84	4.15	2.96	2.52	2.71	1.37	21.1	7.66	17.14	130.81	118.82	160.93	108.16	47.08	15.61	3.16	2.2	2.61	1.93	1.27	3	1.48	1.09	6.62	3.8	4.26	17.59
"gene-HI_0437"	5.77	6.68	10.67	6.15	5.84	4.19	5.71	8.94	6.3	7.06	4.18	3.44	35.32	17.21	40.21	278.8	279.94	246.04	239.62	133.82	54.35	7.7	5	5.98	8.26	6.7	9.22	10.58	8.06	13.85	13.62	7.01	21.57
"gene-HI_0438"	10.51	7.12	14.69	6.44	6.68	5.98	9.8	10.9	9.28	5.85	5.61	6.34	36.94	22.67	53.84	372.46	339.68	329.36	251.04	131.49	76.15	8.21	4.79	6.94	8.74	5.52	10.72	13.16	6.52	15.25	15.64	8.16	23.54
"gene-HI_0439"	9.4	6.52	12.17	9.19	7.93	9.1	12.12	15.7	10.82	7.93	7.7	7.7	61.78	51.33	91.51	842.21	695.2	741.58	483.54	502.18	706.13	9.53	4.03	8.61	10.57	5.58	13.71	11.92	6.87	16.56	15.94	7.9	27.18
"gene-HI_0440"	186.99	186.97	187.96	161.92	153.51	155.46	160.69	149.92	132.92	203.5	190.51	167.8	150.08	124.9	110.29	109.23	116.74	96.89	117.15	120.38	82.9	182.57	206.94	175.36	134.47	149.78	139.71	138.64	132.81	92.3	141.74	128.09	112.19
"gene-HI_0441"	265.66	275.8	269.43	209.45	206.59	219.67	203.5	192.04	197	258.95	186.9	188.14	144.08	111.98	104.26	120	132.11	115.65	121.98	38.54	47.76	212.05	223.57	218.01	126.7	129.53	144.31	148.35	138.28	115.14	120.63	129.18	114.98
"gene-HI_0442"	404.52	410.01	468.33	451.07	431.38	399.46	411.93	409.82	388.26	518.89	466.51	401.56	533.23	483.75	446.45	464.96	404.52	400.43	371.27	464.59	397.41	478.11	541.01	392.99	489	455.07	393.8	532.17	492.17	394.67	417.04	358.04	373.43
"gene-HI_0443"	561.4	495.49	531.9	393.37	376.02	351.12	382.29	369.15	255.76	358.92	364.71	396.56	313.84	296.47	372.8	298.87	284	339.81	254.96	298.91	148.6	317.9	367.34	373.29	316.3	305.63	305.57	352.27	356.89	342.23	252.75	261.28	287.27
"gene-HI_0444"	198.98	209.36	201.06	126.3	127.53	122.23	98.25	125.67	72.85	91.77	115.34	114.67	51.85	44.82	71.65	32.66	36.91	51.9	41.9	33.94	57.1	94.59	95.33	115.37	56.88	51.87	65	49.38	44.26	58.38	36.95	41.31	54.99
"gene-HI_0445"	1333.18	1326.91	1446.79	1217.5	1283.73	1151.74	1350.44	1339.88	1463.45	779.49	857.38	1135.02	906.64	689.3	1467.52	1046.77	747.96	1938.49	912.17	566.34	578.44	1087.36	781.48	1233.17	781.84	732.59	1039.67	1248.44	932.95	1110.61	1213.03	965.1	1260.66
"gene-HI_0446"	184.55	160.46	159.74	158.58	174.7	164.35	183.38	178.79	190.33	91.99	117.61	176.53	92.92	85.44	154.58	82.36	77.02	118.17	144.01	80.01	99.51	90.12	92.48	212.19	88.02	100.15	150.17	88.46	99.35	98.38	146.24	164.51	180.16
"gene-HI_0447"	197.88	177.23	175.5	194.13	189.73	184.33	219.82	230.82	218.52	43.54	67.79	215.72	58.21	50	193.34	76.98	64.28	162.03	99.34	75.12	86.74	46.72	40.61	217.13	55.03	53.62	175.58	65.72	70.7	145.14	78.16	143.43	238.31
"gene-HI_0448"	367.62	329.82	349.04	413.34	431.98	402.19	489.84	517.67	465.09	185.72	223.69	401.88	220.1	186.44	413.79	285.25	211.65	446.48	346.92	248.58	155.15	160.11	173.21	431.03	200.91	209.84	355.47	249.26	276.12	343.7	344.33	418.28	526.43
"gene-HI_0449"	180.41	192.75	180.52	212.53	200.28	195.43	220.19	211.95	212.78	175.56	180.21	212.97	211.08	198.44	203.53	139.19	188.76	159.77	205.47	180.97	160.84	202.06	198.67	230.94	178.39	186.32	192.23	179.85	165.7	151.21	238.4	212.85	219.85
"gene-HI_0450"	230.63	233.84	226.18	278.72	258.29	245.82	288.25	351.84	353.52	166.29	217.23	227.04	267.58	218.78	337.43	261.63	271	396.64	364.28	272.57	239.43	158.41	157.96	251.41	196.97	180.47	325.64	253.76	269.61	361.66	311.21	374.34	529.19
"gene-HI_0451"	197.53	188.62	182.13	223.89	223.6	201.3	252.2	301.67	286.32	77.6	124.97	207.74	150.12	128	292.06	167.97	161.94	332.28	242.27	166.97	296.48	102.89	97.41	209.1	112.87	124.25	293.08	122.66	144.7	349.33	211.6	278.59	493.33
"gene-HI_0452"	120.99	111.47	100.9	125.32	117.59	118.69	127.38	154.29	140.11	103.04	138.51	122.02	103.85	104.97	119.19	103.21	113.16	105.97	186.45	98.93	56.68	101.12	89.8	119.25	102.09	92.3	117.29	119.41	109.31	109.41	168.82	162.93	185.99
"gene-HI_0453"	185.07	180.03	178.85	227.28	199.38	209.43	227.24	263	235.81	216.34	254.21	179.13	229.4	247.4	198.98	242.05	316.48	213.11	349.7	314.34	306.47	219.22	217.44	193.39	206.16	199.07	195.15	239.34	237.56	192.98	363.56	301.91	295.5
"gene-HI_0454"	105.65	106.49	105.03	88.13	86.93	84.85	101.69	99.62	107.08	75.39	90.92	85.82	83.41	68.26	82.94	62.82	66.02	68.9	148.4	50.48	59.86	89.05	91.89	94.21	88.46	74.33	73.55	81.22	80.65	74.41	159.96	142.43	112.06
"gene-HI_0455"	154.1	151.45	155.44	128.12	122.91	117.19	141.51	151.18	150.05	120.8	123	122.95	114.41	92.25	118.18	90.7	92.64	120.51	214.59	78.3	97.27	113.03	125.82	119.05	115.81	102.84	93.86	121.31	120.95	101.69	248.8	204.83	167.5
"gene-HI_0456"	140.32	125.73	129	123.47	108.69	117.99	137.72	131.09	136.53	94.78	114.14	123.93	109.16	88.4	121.13	80.43	80.14	81.75	179.81	68.77	82.27	89.5	110.51	122.63	100.86	108.23	83.5	109.07	115.18	97.16	193.85	199.95	139.91
"gene-HI_0457"	87.96	81.1	72.39	70.25	73.21	64.31	61.93	84.78	70.93	26.39	34.63	63.92	22.31	14.81	51.54	16.03	16.51	45.76	39.64	12.04	58.82	25.46	18.96	71.96	22.35	17.24	40.37	25.57	17.33	42.35	51.6	33.18	64.49
"gene-HI_0458"	416.45	405.69	397.27	432.92	377.73	350.32	399.91	448.41	422.39	360.44	393.25	397.93	343.69	327.8	333.11	241.91	305.96	315.94	552.52	314.22	378.01	378.1	410.67	402.31	305.28	330.34	342.84	263.53	280.11	364.03	618.51	547.46	641.31
"gene-HI_0459"	82.95	81	79.75	87.93	83.79	79.41	94.82	82.47	91.3	94.78	87.52	99.24	122.21	116.23	107.49	149.12	128.17	128.23	131.25	157.19	109.07	94.87	80.85	90.33	105.8	90.3	118.43	130.7	107.63	118.67	132.74	108.34	140.38
"gene-HI_0460"	73.02	76.7	77.35	64.08	59.55	62.25	69.09	71.43	84.3	84.04	72.53	63.37	131.73	105.77	112.86	114.09	146.34	110.71	112.15	116.15	109.28	79.11	82.49	71.12	96	97.43	103.09	107.03	97.56	90.77	117.14	103.92	101.68
"gene-HI_0461"	157.09	179.41	178.45	152.77	147.73	147.09	153.73	147.39	124.99	173.64	149.64	132.71	134.16	184.02	154.69	251.69	206.15	223.63	189.09	226.65	161.53	175.55	107.51	140.53	163.97	121.3	137.69	201.5	146.4	178.94	199.87	131.79	152.42
"gene-HI_0462"	720.79	662.35	919.04	222.27	349.77	356.79	318.03	304.51	268.13	555.18	386.36	448.17	672.86	622.93	618.93	232.14	283.2	351.41	257.01	185.25	396.96	621.44	666.87	365	589.47	484.68	805.62	266.39	294.62	297.78	260.14	266	290.73
"gene-HI_0463"	149.33	140.09	183.25	68.45	77.92	72.06	72.05	97.25	68.59	114.38	95.48	74.58	234.87	225.84	199.07	91.82	109.72	94.39	105.95	83.17	92.44	109.91	98.83	66.25	213.72	123.72	221.32	116.07	103.83	98.55	104.31	82.8	121.57
