"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0021"	138.02	139.22	131.58	227.35	208.57	209.21	231.98	253.84	227.34	173.9	236.03	202.55	343.9	327.53	258	324.92	412.06	265.79	325.43	235.01	66.89	144.1	135.76	197.81	319.69	296.59	224.72	371.73	348.43	311.32	311.37	300.17	277.3
"gene-HI_0022"	301.72	259.11	259.37	399.23	399.93	409.7	469.38	429.59	433.89	215.04	339.13	457.74	504.87	515.64	673.01	459.78	552.03	617.33	412.69	373.88	140.02	180.28	205.51	444.98	428.14	501.4	556.16	425.82	558.74	688.45	360.72	529.58	616.32
"gene-HI_0023"	398.05	378.85	367.84	510.88	623.24	593.04	588.24	630.14	625.78	393	502.11	583.71	832.33	903.26	969.1	789.57	985.06	865.21	651.22	676.11	329.62	275.81	333.27	617.5	714.69	802.93	774.46	733.15	902.77	988.04	543.82	741.78	819.43
"gene-HI_0024"	307.67	289.52	278.36	485.32	569.39	577.2	613.89	570.93	626.34	309.83	461.11	510.65	826.93	947.62	1056.01	901.48	1018.46	1146.88	584.38	707.11	114.73	223.1	253.42	631.13	721.26	739.74	738.15	779.11	906.53	993.59	531.54	605.2	764.62
"gene-HI_0025"	159.68	166.65	155.98	322.31	309	305.9	314.32	312.47	328.88	225.04	304.08	286.92	384.44	417.17	332.61	405.46	385.63	346.8	327.21	445.35	273.1	206.65	163.61	302.34	371.96	296.49	310.69	383.94	303.18	331.71	342.63	236.54	284.06
"gene-HI_0026"	545.82	522.5	526.19	442.54	361.04	367.58	386.1	396.92	307.24	420.71	458.67	388.56	230.48	199.7	204.06	199.99	174.63	225.18	347.06	82.85	210.9	471.52	487.21	377.44	295.88	263.06	223.33	296.41	264.33	144.65	357.01	320.24	206.77
"gene-HI_0027"	258.03	275.72	271.59	253.67	246.02	242.27	242.37	258.67	252.64	290.94	302.68	239.62	235.71	249.68	223.48	222.83	244.2	213.45	248.05	181.87	168.33	289	296.38	242.87	273.05	242.33	226.28	279.12	256.87	193.41	248.82	227.36	212.95
"gene-HI_0028"	264.33	251.28	261.35	248.47	268.67	232.82	250.25	252.07	250.86	254.08	256.83	249.67	119.31	200.33	211.94	172.66	142.84	166.34	163.12	90.42	114.56	236.72	145.38	241.18	185.14	118.39	218.38	177.9	131.87	183.8	179.14	142.88	178.09
"gene-HI_0029"	240.08	252.41	239.52	235.82	259.17	247.62	246.42	252.5	258.33	285.43	265.58	218.3	184.57	224.07	188.1	163.88	188.37	150.84	186.08	95.31	74.14	229.97	228.14	255.77	230.17	190.22	238.03	208.85	191.53	170.93	175.47	163.92	163.32
"gene-HI_0030"	147.75	150.11	147.95	124.41	125.14	118.36	129.88	123.84	123	142.31	147.05	103.92	92.78	110.8	101.63	97.31	85.79	83.54	112.87	55.34	72.95	146.49	114.2	119.55	111.09	92.85	100.34	118.18	86.65	87.44	127.56	84.74	98.25
"gene-HI_0031"	97.68	95.76	99.86	86.29	82.61	79.19	98.59	98.13	99.56	98.69	114.32	78.76	80.18	85.9	94.84	89.78	97.9	81.1	114.54	61.7	55.67	109.16	102.45	87.77	94.67	84.57	69.27	118.23	100.52	76.56	121.95	107.95	100.14
"gene-HI_0032"	159.13	157.04	160.63	112.78	113.64	109.9	117.41	126.17	109.95	110.03	123.52	100.8	67.03	75.93	85.2	64.03	59.99	81.51	75.7	55.46	98.69	114.69	101.64	109.39	81.08	73.67	68.13	96.32	77.12	67.77	86.79	73.34	77.36
"gene-HI_0033"	362.34	376.86	396.56	340.07	337.96	301.85	368.72	406.99	366.3	330.49	369.5	294.25	318.1	320.02	283.65	367.09	286.73	372.03	316.77	333.95	310.03	330.24	368.08	276.64	318.35	324.71	208.96	430.11	406.08	241.17	359.08	327.23	280.81
"gene-HI_0034"	275.42	286.47	288.15	271.65	288.66	264.08	292.84	281.27	275.31	268.81	318.96	261.83	232.1	219.15	243.35	213.34	145.49	215.96	213.07	199.25	214.44	297.25	313.03	259.85	234.51	268.09	192.15	251.24	279.21	154.93	208.72	209.74	179.99
"gene-HI_0035"	14.52	13.15	13.26	56.8	51.44	40.93	65.12	84.42	94.18	9.82	21.79	34.19	163.45	134.96	331.48	138.22	173.05	233.68	95.49	89.92	68.75	10.35	10.6	33.88	109.6	119.68	279.15	132.02	112.22	246.22	86.61	102.06	195.57
"gene-HI_0036"	224.02	222.73	207.59	171.52	158.26	160.08	143.13	128.58	82.38	143.36	147.4	162.57	51.06	52.32	53.02	37	42.69	44.69	46.32	55.65	57.23	143.46	123.86	186.6	71.78	60.17	50.52	55.19	42.21	34.2	51.98	42.99	51.77
"gene-HI_0037"	456.56	342.57	352.83	332.68	319.25	336.76	376.3	327.91	335.04	353.51	381.56	422.62	304.71	249.21	288.29	252.96	275.58	246.09	296.61	242.55	210.21	348.52	367.85	419.66	292.45	295.2	301.45	284.85	279.28	227.63	338.04	290.25	278.77
"gene-HI_0038"	91.01	78.03	81.13	67.32	66.22	61.64	69.94	73.35	56.39	71.91	73.18	76.08	37.68	37.1	55.16	38.03	35.46	59.92	53.67	23.2	63.77	73.96	65.84	66.95	48.68	41.46	47.7	45.4	32.92	38.72	63.41	44.68	48.9
"gene-HI_0039"	110.67	111.72	122.89	88.67	89.87	88.84	83.72	79.51	56.41	99.1	100.84	95.68	48.03	57.15	59.25	36.09	48.23	70.91	75.65	43.58	68.3	93.27	76.12	78.5	63.2	55.58	67.46	48.63	37.93	48.78	83.08	47.83	65.08
"gene-HI_0040"	246.85	238.64	248.36	207.03	211.41	198.24	218.08	226.72	215.9	173.5	178.91	208.13	110.41	141.91	190.76	168.11	112.12	202.24	142.95	136.32	130.34	185.58	95.81	198.34	154.83	94.7	202.08	133.19	87.55	171.25	170.92	93.36	160.64
"gene-HI_0041"	296.02	298.57	311.78	292.36	264.8	273.51	264.97	285.87	270.37	297.78	270.9	294.48	338.94	291.29	294.06	305.38	287.47	303.33	282.56	237.09	221.11	272.57	307.83	264.85	307.14	293.13	302.64	286.24	305.11	275.59	254.52	248.32	251.4
"gene-HI_0042"	79.03	67.25	87.21	40.13	49.54	50.57	39.55	47.68	34.47	53.4	47.1	61.05	45.29	48.35	55.77	19.53	38.65	59.13	52.09	37.11	115.72	56.52	40.48	43.83	60.75	43.5	95.55	27.73	21.14	29.43	49.22	34.65	50.04
"gene-HI_0043"	40.61	43.02	56.55	27.75	29.23	29.87	28.24	25.72	22.75	29.86	32.46	33.01	29.89	33.68	40.9	8.67	16	28.92	27	16.16	48.56	35.6	25.54	26.77	33.12	26.91	67.85	10.88	13.18	18.11	23.18	23.55	30.37
"gene-HI_0044"	600.36	532.86	719.25	666.53	652.98	684.96	874.64	736.98	836.83	912.74	663.02	639.51	782.82	1435.39	1011.09	796.04	931.86	660.94	1142.73	770.65	397.33	1262.7	610.04	666.08	1262.71	643.46	1713.37	763.88	528.11	929.4	1304.01	793.37	1031.52
"gene-HI_0045"	85.26	100.42	89.38	70.51	86	91.11	67.91	86.1	86.97	83.85	84.8	79.53	75.19	75.35	79.2	48.79	52.38	67.57	65.17	67.61	100.62	83.14	79.76	79.8	62.79	83.13	73.42	62.06	65.89	58.4	57.97	53.62	68.02
"gene-HI_0046"	143.49	111.23	112.21	98.51	101.62	102.2	118.43	87.48	84.51	132.84	92.32	120.29	59.62	76.44	100.72	90.24	42.7	83.98	94.34	99.11	181.05	163.26	103.71	138.44	120.93	66.44	91.3	105.03	82.74	68.23	137.48	87.4	96.35
"gene-HI_0047"	86.56	87.41	77.83	71.96	75.76	72.73	102.63	116.6	102.27	100.28	101.38	81.94	295.7	307.37	293.34	411.38	474.24	328.86	322.13	240.73	93.58	87.14	97.11	76.25	195.78	198.29	208.79	311.17	311.99	280.81	278.21	315.1	290
"gene-HI_0048"	78.6	88.41	81.74	87.6	99.94	100.69	102.68	122.99	123.71	85.79	88.44	81.63	191.04	258.56	307.49	358.27	363.51	353.71	274.6	209.01	90.41	74.89	54.7	92.52	161.02	129.24	223.35	240.87	216.07	297.09	210.6	208.44	285.52
"gene-HI_0049"	52.74	47.71	47.35	63.05	68.56	61.05	69.05	79.36	80.88	65.27	71.98	52.01	145.93	167.15	157.16	239	290.42	201.87	200.77	128.86	58.91	63.84	55.64	54.98	113.62	111.52	108.82	172.01	191.02	158.92	160.65	171.96	166.71
"gene-HI_0050"	31.74	32.06	32.92	44.03	44.45	47.66	50.81	62.95	61.08	34.94	39.96	41.22	86.43	110.71	122.09	171.13	185.18	194.31	115.71	93.34	71.02	34.97	26.43	38.94	66.01	58.47	84.37	109.6	106.65	132.73	110.43	105.51	136.42
"gene-HI_0051"	8.16	9.95	9.1	18.06	10.78	16.99	18.89	20.72	19.15	13.83	8.5	11.58	15.59	69.25	79.55	152.74	58.76	164.5	58.47	56.51	40.75	11.08	2.19	12.09	21.76	16.85	40.05	36.97	22.92	81.44	64.6	27.36	86.96
"gene-HI_0052"	11.58	9.98	8.73	19.15	21.52	17.22	35.7	39.45	36.11	11.04	13.46	16.57	52.9	164.33	250.72	606.34	237.78	645.85	199	296.67	185.94	11.82	4.92	16.28	75.23	30.63	126.29	170.99	92.89	326.97	221.51	87.57	315.05
"gene-HI_0053"	12.81	12.54	13.59	25.96	30.36	22.34	41.97	49.48	59.5	15.41	21.58	15.16	187.97	238.77	298.43	386.94	501.53	689.63	178.95	372.27	322.67	10.16	8.44	18.16	103.21	113.88	162.47	255.78	303.12	284.71	127.39	181.9	260.25
"gene-HI_0054"	92.07	103.33	99.76	87.48	94.01	92.72	101.8	102.06	95.26	89.1	74.11	82.6	68.21	85.94	111.47	136.74	85.93	159.16	103.69	128.83	285.16	79.19	41.01	89.89	76.78	44.4	97.77	91.17	61.78	107.18	106.67	64.92	114.13
"gene-HI_0055"	157.42	158.8	166.67	171.94	152.97	164.27	197.38	190.38	181.59	193.99	180.9	160.08	436.35	419.53	351.63	584.88	521.77	638.54	322.61	391.21	160.17	169.2	187.59	159.86	307.16	297.92	297.56	437.36	436.65	434.5	248.2	271.97	318.4
