transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0461	1963	2569	2414	2500	2291	1827	2033	2102	1699	1899	1983	1230	1211	2440	1375	2174	1876	1870	1809	2180	788	3176	1551	2168	2333	1216	1554	2301	1708	1886	2340	1703	1779
gene-HI_0462	24800	26115	34232	10015	14935	12202	11580	11958	10035	16718	14098	11437	16723	22743	15148	5521	7096	8091	6770	4906	5332	30957	26490	15504	23094	13378	25036	8376	9464	8642	8386	9464	9343
gene-HI_0463	2454	2638	3260	1473	1589	1177	1253	1824	1226	1645	1664	909	2788	3938	2327	1043	1313	1038	1333	1052	593	2615	1875	1344	3999	1631	3285	1743	1593	1366	1606	1407	1866
gene-HI_0464	2681	2910	3005	2622	2667	2086	2075	2488	2519	1639	1718	1620	2391	3618	2775	1587	2376	1911	2070	1940	859	2297	2394	3070	3061	2292	4203	1945	2261	3128	2316	2978	3551
gene-HI_0465	8912	10349	10529	8132	7315	5421	5586	6584	5534	5796	5809	4215	8330	11295	8274	5359	9850	5919	7984	7550	1804	7539	7216	7865	9932	7803	12032	6771	8668	9195	8797	11647	10951
gene-HI_0466	2644	2942	2748	2607	2675	1962	2194	2496	2158	2448	2523	1590	2305	3399	2336	2735	2867	1972	2558	2670	530	3742	2642	2908	2977	1995	2842	2939	2840	2924	3079	2739	2743
gene-HI_0467	3792	3811	3464	3195	3295	2521	2912	2715	2962	2378	2578	2204	2670	3723	3023	2626	3067	3182	2211	3790	1849	3639	2927	4066	2952	2485	3422	2928	3549	3395	2635	3620	3366
gene-HI_0468	1206	1404	1308	754	887	688	607	721	827	684	749	566	616	714	606	649	861	659	655	1079	612	1328	1238	1006	760	584	590	740	810	583	773	904	963
gene-HI_0469	2197	2343	2114	1829	1840	1362	1571	1513	1611	1237	1301	1313	1156	1370	1420	997	1432	1073	1119	1502	625	2101	1998	2101	1307	1138	1481	1240	1438	1499	1326	1906	2156
gene-HI_0470	2017	2099	1944	1471	1609	1260	1300	1456	1263	1314	1437	1138	1383	1483	1226	959	1403	1044	1274	1337	345	2024	1848	1832	1490	1197	1320	1191	1393	1413	1353	1856	1840
gene-HI_0471	1545	1780	1669	1201	1171	978	1051	1214	1153	1405	1590	985	1618	2111	1225	1252	1807	1040	1601	1222	270	2296	2012	1424	1776	1442	1366	1530	1761	1504	1923	2467	1927
gene-HI_0472	665	842	758	673	737	527	582	732	666	509	693	443	696	867	624	558	756	426	721	678	197	919	742	697	886	644	607	733	771	670	702	877	849
gene-HI_0473	1711	1944	1625	1642	1822	1360	1516	1715	2025	433	827	1121	568	692	1298	400	525	919	470	611	292	747	575	2000	501	531	1490	479	687	1426	512	1040	1860
gene-HI_0474	1467	1545	1291	1214	1314	1005	1133	1256	1308	622	880	964	709	720	1145	464	566	817	540	564	249	724	732	1522	698	604	1270	533	649	1251	616	949	1581
gene-HI_0475	1432	1760	1522	1308	1577	1205	1178	1655	1499	821	1037	922	935	1087	1101	649	778	928	732	611	240	1140	886	1567	966	693	1534	781	865	1451	842	1095	1635
gene-HI_0476	185	234	200	237	204	144	161	178	205	88	88	136	94	111	193	103	120	195	112	63	34	109	66	229	106	86	293	106	106	258	177	137	274
gene-HI_0477	2844	3019	2740	4125	2919	2569	2466	2626	3020	2120	3067	1817	1463	2618	1422	1108	1489	946	2031	1320	407	3282	2589	3131	2560	1705	1634	1752	1684	1340	2291	2401	1742
gene-HI_0478	5672	7158	6488	9475	10236	7697	8816	11472	8729	8203	9781	4706	7918	12261	5923	5623	5629	2665	11397	5803	744	11562	8703	8419	15260	9427	12013	10027	10320	7197	12992	13952	11118
gene-HI_0479	22014	25667	22219	31096	32395	26040	27292	31496	29475	25017	33639	17720	27513	42051	18974	14914	19454	8491	30417	16959	1709	31208	31628	29230	42524	38091	36969	24531	38555	22433	30116	49103	32748
gene-HI_0480	15886	20058	17693	23669	24551	19072	19379	25576	20335	18175	22920	12893	13884	26690	13013	9620	12329	6389	21032	10826	910	21029	17127	20530	27196	18865	26242	15115	21175	17644	19221	27240	22835
gene-HI_0481	33499	39076	35051	50880	49194	39518	42953	54350	39322	35354	43526	26589	31563	56724	27562	21034	27658	14907	42332	22673	1745	42645	38098	45063	56915	41963	52867	32873	45176	40822	42032	58446	49936
gene-HI_0482	12570	16192	14602	23140	23571	18499	18846	24478	18663	15402	16930	11772	17045	24707	12910	9638	13693	8057	18863	10021	632	17639	17831	20422	26150	20092	26459	16160	22970	21206	17900	28482	23747
gene-HI_0483	5692	6615	6349	10735	10468	8255	9228	10418	7945	7485	8831	6325	8794	14127	7417	5923	7753	4578	10689	5233	383	9935	9151	9385	14902	11022	13873	9081	12252	12005	11617	15906	12851
gene-HI_0484	4485	5207	4731	9859	8259	6960	8004	8503	6365	5612	6539	4941	4158	10664	6114	4270	5207	3801	8063	4231	258	7469	4295	7856	10588	5315	10909	6485	6530	8966	8724	9303	10193
gene-HI_0485	5999	5767	5694	11218	8645	8007	9108	8011	6235	5346	6318	5227	3410	6876	4606	3054	4421	2740	6546	3928	744	8132	4709	9160	7733	4183	8494	4586	4421	6599	9828	7904	8849
gene-HI_0485.1	1554	1892	1492	4643	3136	2572	3618	3166	2455	443	754	1805	396	1017	1952	678	568	1272	959	1217	934	967	583	3047	754	582	3691	485	551	2977	2648	1243	4002
gene-HI_0486	723	927	747	1239	1098	871	1079	1215	1379	936	858	461	1087	2026	957	1450	1977	1275	1150	2172	466	1283	743	1022	1319	689	1232	1514	1130	1489	1517	1158	1461
gene-HI_0487	82	96	121	360	268	222	399	471	502	184	289	121	485	928	526	607	1141	612	711	1189	557	371	211	261	542	336	631	695	555	729	1038	690	1010
gene-HI_0488	1602	1691	1452	1392	1452	993	1104	1450	1615	371	801	794	338	374	927	265	306	711	319	528	515	493	345	1382	363	305	943	347	302	541	456	454	912
gene-HI_0489	1067	1342	1367	1142	863	684	821	1021	989	690	887	704	703	945	1082	758	1039	1145	1209	1208	664	1246	803	1015	1006	683	869	968	809	932	1647	1231	1105
gene-HI_0491	1498	1788	1528	2766	2317	2111	2500	2403	1981	2200	2164	1471	1881	2606	1556	1770	1821	1236	1798	1548	188	3313	2582	2536	2474	1497	2243	2444	2104	1959	1917	1842	1836
gene-HI_0493	73	111	115	38	63	47	36	55	45	62	64	37	50	80	77	62	125	75	109	99	85	135	86	42	94	33	61	104	82	97	101	86	219
gene-HI_0494	92	120	99	133	129	99	95	130	135	119	98	56	479	545	214	303	509	246	203	230	102	164	144	112	500	348	384	391	302	330	317	301	255
gene-HI_0495	27	34	32	51	46	38	51	57	44	41	42	19	204	191	98	107	155	102	64	71	65	82	52	44	166	118	149	136	169	111	92	91	71
gene-HI_0496	3398	3125	4617	836	1648	1410	1407	1232	895	1307	1180	1368	1808	2787	3175	580	406	936	513	308	428	2841	2093	1931	2615	1315	6368	778	909	936	566	816	1358
gene-HI_0497	10870	11999	19200	3249	7363	5584	4685	5292	4066	6607	4767	4542	8444	10389	8811	2370	1934	2962	2493	1111	1569	13870	10811	6292	12316	6010	20619	3301	3961	3254	2717	3336	4355
gene-HI_0498	6424	8261	7353	8315	7996	5790	5716	7087	3964	8132	7201	4495	4261	8549	4708	3832	3835	3925	4959	17342	7779	10272	6564	7731	7156	3883	5323	4819	4890	6176	4577	4290	5887
gene-HI_0499	1196	1322	1081	1250	1502	1000	1246	1525	1212	732	862	852	958	1185	1735	816	873	1260	740	1375	547	1052	804	1626	1243	842	1614	1147	1003	1305	1000	1090	1858
gene-HI_0500	1653	1902	1482	1678	1639	1211	1431	1625	1367	1666	1728	1031	1138	1333	1012	762	900	923	989	669	537	2784	2264	1726	1707	1297	1157	1257	1195	837	1248	1112	1128
gene-HI_0501	38	56	58	225	219	135	138	241	213	122	143	61	436	412	389	454	463	506	167	335	273	62	41	94	319	204	455	388	264	350	223	196	242
gene-HI_0502	128	156	131	462	438	243	296	372	394	141	186	137	419	462	896	411	393	946	197	325	142	94	98	252	358	223	891	309	259	678	197	371	805
gene-HI_0503	166	187	180	423	356	214	294	329	304	99	173	141	347	455	580	466	502	736	279	384	180	141	101	263	312	193	769	373	332	745	335	499	827
gene-HI_0504	452	543	486	1417	1486	1140	1964	1944	2056	715	654	544	8063	9274	6357	12528	13721	13911	8203	13006	6482	686	622	1164	4909	3424	5481	8762	8951	14341	8430	10865	11368
gene-HI_0505	707	859	796	1272	1329	963	1160	1329	1249	357	483	682	795	898	2002	804	789	2057	617	873	633	577	369	1199	786	602	1941	827	761	2062	687	1195	2081
gene-HI_0506	511	603	532	700	726	493	537	700	556	142	204	381	385	379	1114	384	499	1169	336	561	445	260	206	607	372	253	1018	427	394	1091	353	485	1111
gene-HI_0507	1190	1607	1382	1282	1136	915	862	799	634	1001	963	695	343	555	485	265	575	352	689	1144	514	1708	1149	1253	646	382	696	459	345	680	973	742	1017
gene-HI_0508	1787	1743	1788	2243	1857	1482	2133	2173	2273	1355	1595	1266	1954	2706	2073	1906	2475	1969	2205	2689	974	2457	2033	2078	2372	1856	2023	2077	2305	1995	2706	3167	2698
gene-HI_0509	1764	1861	1685	1474	1374	1109	1087	1290	916	659	1009	883	231	294	452	231	235	331	443	281	205	928	758	1560	501	335	581	388	423	398	479	691	760
gene-HI_0510	930	1270	1151	1340	1333	945	914	1152	940	965	964	609	896	1439	835	854	957	887	607	1307	839	1274	1261	1147	1199	908	1062	1100	1240	1158	709	719	1063
gene-HI_0511	1376	1545	1520	1268	1162	1012	999	1067	1217	1340	1288	866	1136	1987	919	1147	1632	1108	1137	953	422	2226	1455	1436	1581	971	1027	1426	1347	1213	1450	1558	1324
gene-HI_0512	3330	4154	4056	4010	4020	3351	3041	3482	4315	2087	2030	2133	261	524	661	431	252	629	786	272	299	3992	1608	3966	991	475	1253	584	442	693	1247	633	1328
gene-HI_0513	3079	3877	3573	2744	2459	2282	1971	2368	2074	554	936	1603	108	228	568	235	112	481	359	132	309	1220	729	2551	315	218	778	137	230	622	725	360	1272
gene-HI_0514	71305	78734	74990	75078	68863	62934	64008	71896	72838	63405	82209	50420	22678	33751	21219	22962	21751	17769	51373	16445	7634	99610	95934	79899	53948	43978	33688	38929	55734	25731	55442	84728	54851
gene-HI_0515	75202	87524	79834	68106	73517	63730	57188	71625	66074	58537	75471	44634	18727	29867	20384	23056	15722	18870	40358	15939	6910	85472	77867	79466	44180	34233	26367	38304	50628	24164	41350	68045	41778
gene-HI_0516	38803	47515	44891	66174	61998	52271	48839	55486	49725	55316	71809	40343	18258	22154	12986	10099	14715	5880	36528	41647	6046	121509	88731	54620	45485	30898	19043	26603	26036	14411	46467	45327	28395
gene-HI_0517	54672	69869	64861	97158	98855	78110	69078	81465	78635	76050	91997	54697	25535	30148	18131	11643	20041	7752	45543	62232	10923	153116	114807	81960	55026	40127	26630	32709	33462	20203	54977	57475	38899
gene-HI_0518	8980	9865	8942	16889	16336	12663	17735	20199	18559	11951	10662	8852	7457	7389	5874	9398	5475	5894	8175	1484	591	14545	11842	17043	15446	6205	8923	14243	13666	8467	9931	10728	8995
gene-HI_0519	14272	14026	12544	27815	25705	18012	25988	31350	25781	4047	4724	12081	5948	6396	27527	6287	4260	20859	3908	4049	4740	4616	3399	24481	8629	4772	35112	8193	7450	28752	4929	4929	22120
gene-HI_0520	618	737	694	8118	6499	4490	7784	9843	9880	1632	3168	1876	3953	5825	4712	5879	4178	6003	3968	3313	378	1136	1007	2984	5305	3447	4920	8996	7250	5436	6223	5272	6050
gene-HI_0521	1675	2068	2089	26919	19674	15269	23789	28182	24502	5423	11667	5662	11117	17553	10475	13344	9643	15024	9118	10482	1802	3318	3435	9605	14051	10670	14891	18087	18784	13632	13671	13505	15254
gene-HI_0522	998	1268	1247	1043	977	823	909	911	948	869	1024	624	940	1178	776	815	1250	730	880	1114	265	1362	1125	1004	1091	774	1004	1146	1073	1021	1157	1096	1103
gene-HI_0523	2162	2540	2372	2677	2366	1861	2142	2196	1916	2272	2432	1543	2761	3642	2262	3013	3790	2712	3203	4850	1103	3786	3149	2325	3758	2518	2646	4019	3864	3074	3707	3685	3593
gene-HI_0524	11771	12539	11072	19725	18195	15041	19928	18758	19184	6570	11482	12825	9270	10250	15513	8063	7582	14544	7221	4733	1605	8880	6754	22500	10801	8337	18472	9861	10852	20523	7666	11949	19587
gene-HI_0525	9521	10233	9333	15895	14362	11128	14353	15058	14383	8139	11577	9708	13245	17494	12618	13438	13069	14213	9960	12067	4168	10668	9009	16583	16553	11028	13769	15220	17363	17782	10857	14624	15360
gene-HI_0526	1951	2175	1842	2381	2029	1660	1855	2139	1793	1910	2106	1270	1324	1781	1285	1174	1646	1068	1714	895	474	3263	2404	2065	2076	1431	1491	1873	1683	1455	2208	2029	1818
gene-HI_0527	743	843	735	776	610	547	541	597	530	669	802	373	267	373	421	268	333	326	322	293	161	1161	1020	608	485	342	326	422	444	335	421	492	460
gene-HI_0528	3701	3840	3334	3877	4026	2843	3319	4098	4448	1945	3192	2076	2079	3054	2991	2267	2585	2866	2225	2607	1009	2731	2290	4186	2447	1905	2948	2816	3332	2857	2480	3829	3692
gene-HI_0529	1025	1047	978	887	965	738	748	912	823	568	878	635	562	757	631	624	574	742	434	550	155	923	738	1041	649	558	633	778	789	526	590	723	691
gene-HI_0530	4041	4249	3671	3866	4040	3054	3424	3627	3855	2726	3435	2461	2618	3101	2624	3145	2313	3483	1982	3087	1204	4408	3439	4173	3015	2378	2491	3526	3562	2191	2710	3010	2726
gene-HI_0531	10083	10268	9377	18463	13868	9932	14512	12903	9651	11463	13085	8417	6003	8978	5148	4972	2867	3885	6345	2965	1783	24590	16606	15163	13428	7677	5740	10835	8284	3190	10179	8087	5064
gene-HI_0532	4876	5640	5675	7532	5963	4622	5861	7007	5822	2879	3451	3401	1412	1784	2351	1343	1134	2619	2727	728	1655	4883	3993	5242	2528	1869	2927	2028	2100	1861	3146	3909	2889
gene-HI_0533	13743	17764	16219	15933	15645	12010	12462	13501	12257	11707	11517	9261	9783	13937	8264	8855	7281	9470	10189	7584	3578	19920	16210	14407	15279	9624	13149	11868	12078	9183	11150	12937	9988
gene-HI_0534	1558	1622	1401	31569	24797	18561	49695	48979	55170	2988	9591	8959	133010	173054	121631	145984	208974	148681	80391	74982	13503	2526	2170	12217	133713	100574	160630	150411	170679	255784	81627	102925	107460
gene-HI_0535	1548	1618	1299	1425	1475	1032	1088	1392	1131	451	808	987	327	343	909	213	226	503	303	178	224	611	530	1585	477	339	965	330	384	684	338	515	1161
gene-HI_0536	1711	2083	1709	1689	1772	1441	1516	1779	1418	1383	1581	1240	1250	1485	1221	945	1003	675	1316	813	234	1903	1743	1899	1774	1309	1462	1347	1473	1194	1442	1668	1627
gene-HI_0537	3201	3204	2859	2988	2917	2395	2827	3146	3177	2199	2330	2272	2140	2288	2315	2136	2062	2111	2776	2678	1451	3176	2744	3297	2868	2093	2605	3261	3341	2438	4056	3276	3344
gene-HI_0538	3098	3820	3465	2867	3697	2723	2731	3418	3444	2040	2189	2085	1904	2227	2395	1925	2024	1851	2094	2530	988	2816	2290	3405	2559	1838	2974	2777	2586	2372	3047	2822	3109
gene-HI_0539	6331	6871	5603	4542	5245	4251	4251	4788	4615	1240	2413	4265	1286	1393	3917	1101	959	2784	1083	1768	875	1752	1576	6256	1498	1413	5278	1166	1516	3610	1181	2139	5435
gene-HI_0540	1204	1188	898	830	780	720	742	683	633	502	628	739	466	608	760	424	350	432	368	815	213	711	626	1268	579	436	930	528	523	624	367	553	902
gene-HI_0541	419	555	412	478	417	391	432	335	423	264	277	323	291	369	477	196	229	306	213	729	1020	366	375	523	336	275	551	243	297	455	214	356	565
gene-HI_0542	7407	8918	13046	3132	6814	5175	3912	6123	4311	5550	2872	3862	7352	9329	8568	1435	1741	1885	2619	2245	789	8829	6340	6029	9844	4007	22335	2423	2463	5766	2481	3149	5179
gene-HI_0543	39049	37724	53333	13236	26220	19152	16166	21746	17980	10717	8652	18066	12951	16626	37558	3597	3334	8294	5779	4799	3794	18901	13887	23894	18815	8185	84962	4853	5848	20502	5289	7849	21432
gene-HI_0544	37772	40749	38119	55762	45519	40855	41269	38207	36648	42088	56567	35538	6682	9871	4900	8717	5441	4368	21326	8453	3014	83105	71218	47378	23141	19171	9776	15640	18867	10016	28605	31675	15630
gene-HI_0545	22742	23092	22402	32494	28245	23418	24134	21999	21744	19815	26595	20037	3239	4152	2375	3893	2348	2198	8987	3655	1511	38539	31637	31104	9728	8951	5317	6315	9108	5418	12974	14068	7696
gene-HI_0546	29883	35617	33081	43900	42745	34962	30997	34150	31084	33164	44010	26859	5000	7940	3619	6777	4186	3476	15561	6662	2097	67115	47349	39745	17932	12589	7547	12943	14851	8148	20247	22653	11411
gene-HI_0547	88385	107873	99464	147958	140356	104039	100186	98477	99722	105802	119452	67612	14731	21633	10229	17680	11122	9965	40358	17279	5735	173357	151761	119146	44242	40382	21161	35354	43046	20788	51985	63001	31590
gene-HI_0548	1027	1441	1286	2151	1790	1584	1855	1720	1552	1135	1584	1173	725	723	835	409	439	475	844	677	198	2211	1615	2246	1279	619	720	1169	742	609	1681	963	1071
gene-HI_0549	2594	2861	2565	3901	3036	2396	2918	3060	2486	2071	2490	2026	5007	6745	5169	5681	5486	4594	2991	4122	942	3197	2699	2849	5846	3646	4162	8137	6898	6060	4331	3940	5491
gene-HI_0550	3320	3304	3440	5222	5133	3913	5160	5275	4802	1294	1654	2602	2072	4590	6891	4313	1851	5428	1385	2582	1820	2609	975	5381	3702	1698	8113	2475	1801	6254	3640	1383	5740
gene-HI_0551	1378	1455	1464	1788	1460	1236	1591	1397	1295	1446	1336	1143	1652	2159	1215	1627	1771	1457	1317	1905	793	2104	1838	1741	2027	1411	1516	1851	1903	1471	1755	1753	1866
gene-HI_0552	1205	1400	1247	1327	1111	969	1038	1095	881	1305	1295	794	1388	1962	827	1289	1695	984	1075	1148	213	1780	1524	1210	1910	1119	1187	1632	1563	1204	1132	1274	1174
gene-HI_0553	12636	12916	10821	17139	16486	12523	16354	18111	14868	4615	5198	10343	6591	4934	19450	5903	5243	13572	6497	4161	1823	5439	4123	18938	7220	3853	21111	6839	6106	20113	7055	7734	22578
gene-HI_0554	1610	2102	1947	2217	2392	1644	1765	2310	1828	1076	1094	1243	1246	1647	1895	1360	1222	1258	1310	900	361	1528	841	2251	1503	934	2460	1341	1027	2084	2195	1203	1993
gene-HI_0555	1317	1695	1470	1549	1726	1347	1580	1696	1275	1503	1535	1047	1989	2005	1710	1874	2034	1618	1666	1848	439	1592	1473	1778	2353	1461	1838	2361	1905	1424	2348	1947	1730
gene-HI_0556	3318	4560	4246	4254	4401	3201	3249	4340	3236	3510	3980	2402	4154	4583	3018	2920	3834	2369	3161	2482	412	3831	3768	4220	4444	3682	4533	3492	3693	3265	3217	3646	3431
gene-HI_0557	771	843	866	1002	800	643	770	740	614	1267	1367	556	1079	1224	486	584	1073	308	769	581	48	1158	1185	968	1191	966	923	866	898	590	710	1065	605
gene-HI_0558	12327	13723	12482	13826	12983	9716	10327	11825	9923	12164	13227	7616	11579	13502	7907	8772	11393	6106	9373	9474	2280	12504	12509	14314	12867	10505	11865	10928	12931	8732	9284	12648	10031
gene-HI_0559	3333	4525	4132	5447	4792	3519	3611	4876	4176	3732	4095	2420	2741	4780	2778	3941	3423	3012	3049	2644	292	4179	2457	4467	4348	2141	3990	4117	2936	3620	3396	2653	3195
gene-HI_0559.1	1480	1598	1447	1764	1466	1124	1348	1236	1064	1781	1922	958	1154	1468	790	705	809	600	881	737	270	2243	1844	1675	1590	1118	1132	1158	949	787	1072	1161	912
gene-HI_0561	2372	2459	2092	2689	2068	1589	1645	2253	1912	1031	1487	1188	528	632	913	335	519	446	1204	744	539	1896	1511	2320	910	716	839	769	758	691	1448	2023	1596
gene-HI_0562	491	544	529	630	556	420	499	611	590	462	507	277	699	979	640	767	906	771	792	1157	1138	765	663	516	837	621	684	905	954	666	1046	917	817
gene-HI_0563	706	731	816	855	753	586	702	877	728	643	745	411	587	1642	792	791	801	567	718	970	495	951	408	666	1028	415	1132	795	408	825	1035	567	832
gene-HI_0564	1864	2194	2084	1600	1441	1129	1493	5369	3093	1239	1273	931	1108	4546	2913	1023	1349	893	1469	1303	512	1716	1475	1587	1402	1069	2699	1112	1252	1231	1251	1483	1910
gene-HI_0565	2416	2901	2568	3365	2945	2519	2626	3027	2945	3276	3042	1648	3879	5083	2147	2570	3493	1860	3044	2030	431	3856	3701	2979	4553	3421	3619	3465	3467	2815	3355	4137	3435
gene-HI_0566	2714	3225	2957	3956	3552	2948	2882	3240	3487	2831	2885	2078	3762	4644	2711	2860	3826	2833	3379	2955	761	3786	3553	3531	4239	3488	4153	3280	4127	3679	3703	4898	4304
gene-HI_0567	11649	12985	11773	12854	11824	9067	9560	11752	11520	3724	5347	7227	4325	4799	8803	5033	3489	9783	4329	3901	2618	5472	4187	12378	5522	3616	8768	6560	6354	7233	4929	5738	9481
gene-HI_0568	5482	6620	5856	5515	5222	3918	4021	4326	4143	4438	5058	3245	4290	4778	3287	2852	3717	2516	2975	3864	1214	5960	5735	5583	4864	3968	4594	3748	4240	2966	3370	4199	3446
gene-HI_0569	858	889	921	762	594	494	557	628	601	513	565	337	613	656	580	568	635	515	531	603	346	874	619	601	765	573	643	678	689	661	694	643	729
gene-HI_0570	3588	4225	4127	3673	3221	2539	2756	3110	3043	1626	2103	1691	1613	2294	2434	1507	1785	2707	1585	2628	647	2177	1821	3137	1949	1479	2255	2057	2148	2842	2060	2209	3058
gene-HI_0571	7590	7682	7449	7154	5888	4811	5671	5743	5608	5718	6344	4024	5603	7164	5061	5475	6253	4866	5403	7870	2360	7675	6851	6030	7210	5227	4850	6807	7920	4964	6502	7713	6061
gene-HI_0572	41405	47572	45555	48723	49585	39992	58770	53936	48531	59119	52104	30809	68829	74575	39314	80528	71775	59925	65531	98189	30316	57324	53626	58228	78083	50192	56522	114724	120211	62890	66528	78145	70987
gene-HI_0573	515	455	512	639	494	399	538	470	486	337	320	258	110	381	325	365	143	368	201	245	154	534	126	585	260	97	377	284	117	396	341	148	569
gene-HI_0574	5734	6865	6229	9278	9204	6575	7988	8835	8320	6482	6878	5293	6628	9277	5332	4232	5016	4064	8903	7630	3510	8597	8073	9269	8302	5786	7362	5884	6735	7149	12678	12718	12578
gene-HI_0575	2989	3447	3207	4344	3744	2826	2970	3024	2780	2950	3181	2143	1751	2439	1685	1434	1830	1379	2411	1309	455	3613	3133	3605	2904	1696	1939	1962	2045	2224	2583	2741	2882
gene-HI_0576	1369	1693	1601	1780	1584	1209	1175	1201	899	1311	1533	839	713	1023	709	530	854	561	913	595	214	1628	1259	1285	1229	699	759	868	840	924	999	1010	1060
gene-HI_0576.1	552	671	596	751	619	542	492	544	424	339	444	439	194	353	425	341	270	422	309	322	293	564	403	639	316	246	388	293	254	485	489	335	494
gene-HI_0577	362	527	446	437	490	325	350	390	248	175	256	258	62	147	220	93	84	203	105	51	95	277	111	417	131	52	225	87	65	246	133	82	288
gene-HI_0578	123668	142322	136747	150032	141772	122556	120272	119097	121325	117530	137973	97359	69205	109210	56538	62712	69472	51894	69818	84109	21536	160027	158687	148432	125773	100987	101188	88751	126901	89042	89156	125431	99065
gene-HI_0579	123060	144088	135770	133965	124277	109474	97102	108304	97159	110992	149525	87379	35615	59172	29144	31927	39581	25584	59183	33346	9004	134191	141353	132688	69018	61443	55380	41978	62621	41188	53028	87573	62235
gene-HI_0580	29059	34958	33008	32730	30587	26746	22780	24429	21056	23366	30051	20416	7948	12752	7381	7833	9693	7362	13532	12048	7067	34837	33438	31776	16193	13661	12014	11463	14847	11717	16032	21857	15981
gene-HI_0581	27636	30837	26802	29504	28791	23475	23738	23045	19221	28698	37413	20122	12286	18367	9168	12798	14501	10270	22192	21641	9322	39551	39530	29850	20658	17635	12338	17712	22297	13919	21468	28511	19082
gene-HI_0582	16506	19499	18313	15915	15774	12648	12003	13278	10355	10105	13068	9530	7480	9912	7299	6378	6413	7305	5585	7387	1907	14251	13709	18413	10907	8293	10624	9804	10442	7667	7069	8540	8302
gene-HI_0583	13336	15545	13186	19558	21251	17930	21109	20159	17858	21074	17938	12518	47598	72435	35331	39714	49165	31233	36470	37644	4812	20370	23826	23736	48515	41864	48452	42754	60566	64205	34108	53472	54097
gene-HI_0584	1207	1210	1177	2688	2551	2058	2603	2656	2427	1153	1572	1326	1636	1826	2151	1058	1443	1492	1665	681	301	1293	1240	2849	1807	1698	4211	1339	1577	2588	1757	2832	3411
gene-HI_0585	2017	2309	2042	2724	2424	2195	2458	2478	2520	1911	2014	1566	2403	3307	2185	1659	2679	1869	1872	1156	291	2144	2177	2757	2868	2545	4103	1967	2464	3530	2023	2985	3419
gene-HI_0586	1051	1181	1244	1665	1352	1213	1247	1366	1601	1158	1108	842	1297	2246	1315	1149	1685	1228	1167	1068	172	1404	1046	1515	1728	1316	2362	1324	1433	2335	1305	1561	1860
gene-HI_0587	1456	1583	1468	1828	1501	1500	1607	1557	2353	1760	1545	1160	2332	3256	1730	1834	2884	1638	1824	2583	1223	2309	1935	1955	2853	2161	2985	2103	2160	2566	2166	2558	2466
gene-HI_0588	2064	2791	2433	2911	3585	2824	3054	3480	3754	2829	2546	1841	3983	5994	3719	4174	4673	3380	3683	3240	892	3830	2597	3373	5102	3244	5070	4482	4209	4998	3858	4152	4501
gene-HI_0589	396	483	419	805	780	641	807	747	723	619	645	532	910	1074	700	618	824	416	967	648	263	993	670	770	1050	787	964	892	1034	904	1258	1178	1050
gene-HI_0590	612	722	611	1013	850	694	910	877	918	730	939	533	16560	31726	6361	1166	1964	940	858	694	492	1063	1037	879	10708	13508	13993	1598	1508	1731	1181	1510	1095
gene-HI_0591	714	754	714	1225	1188	884	1161	1195	1033	949	1090	574	26325	62372	11880	1924	2811	1520	1057	817	433	984	767	1202	20479	21630	25053	1913	1847	3574	1177	1546	1264
gene-HI_0592	119	125	117	501	328	314	416	457	555	195	225	120	591	4887	2509	1504	670	1967	521	694	266	248	55	287	2617	447	2070	1521	288	1707	904	239	551
gene-HI_0594	1207	1260	1262	1610	1872	1501	1730	2427	1894	1093	1952	1037	308	631	444	335	486	382	301	429	214	1481	1269	1814	444	341	627	388	423	525	422	558	865
gene-HI_0595	3211	2688	2934	3617	4899	3892	6256	6412	5909	4443	6060	3508	2012	2115	1182	1829	1961	1720	1506	2654	2920	5338	5693	6152	1591	1569	1557	1610	2074	2102	1679	2338	2439
gene-HI_0596	4487	5287	4678	8811	11433	8932	11981	13442	13032	9278	11065	5476	3232	4318	2237	3181	3648	3286	2590	5950	9002	9611	10284	10785	2723	2478	2730	3079	3809	3812	2365	4276	4492
gene-HI_0597	1229	1495	1360	1516	1525	1194	1255	1536	1479	953	1215	929	758	1104	785	938	1230	982	926	1174	632	1605	1102	1596	1148	656	1013	1193	1010	1021	1181	1131	1211
gene-HI_0597.1	815	1188	1188	767	789	560	538	789	699	504	732	365	217	849	443	569	540	570	529	662	247	921	348	742	800	252	511	802	394	659	665	387	686
