transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0061	193	227	243	240	204	140	185	210	211	160	163	120	395	430	533	2191	2378	2114	3126	2141	896	332	200	221	302	218	278	306	184	284	319	255	702
gene-HI_0062	3992	4617	4301	5831	4951	4567	4222	3823	2785	4923	5104	3267	2351	3968	1529	1848	2350	1424	5091	11767	9497	13062	10195	5004	7220	5223	2991	4288	4569	2234	5961	6388	4439
gene-HI_0063	4999	5496	5362	5258	4972	3983	4616	4562	3801	4656	5276	3178	2693	3411	2024	1932	2336	1828	2794	2112	963	7687	6847	4966	4360	2963	2985	3296	3306	2362	3653	3535	3105
gene-HI_0064	1551	1834	1799	1453	1398	1205	1139	1423	1079	1354	1811	767	939	1201	659	621	786	596	783	681	227	2426	2003	1192	1311	906	768	1119	1020	700	880	1036	769
gene-HI_0065	1257	1400	1367	1396	1394	1058	1218	1335	1243	1258	1234	741	1145	1486	899	1109	897	911	1113	1012	420	2080	1357	1299	1606	962	1158	1437	1011	962	1321	1136	1145
gene-HI_0066	2236	2678	2513	2068	1996	1608	1792	1996	1580	1299	1552	1245	879	1406	1253	1054	908	1200	942	754	427	2291	1457	2125	1384	838	1603	1203	946	1234	1604	1026	1473
gene-HI_0067	4743	6367	5672	6330	5547	4185	4322	5199	4103	5503	6149	2642	4383	6439	2960	3420	4310	2785	3332	2851	501	6671	5619	4646	5973	4313	3805	4830	4770	3742	3536	3762	3275
gene-HI_0068	1728	2026	1804	2252	1879	1442	1574	1841	1276	1705	2261	1016	1774	2425	1130	1412	1522	1061	1295	834	144	2120	2051	1656	2439	1716	1393	1888	2139	1439	1428	1552	1176
gene-HI_0069	3992	4912	4571	6048	4971	3638	4446	5270	4520	3874	5198	2805	5077	8237	4570	5106	6784	5147	5171	4327	1634	4575	3420	4988	8370	4464	5579	7250	5984	5759	4928	5135	5262
gene-HI_0070	4244	4804	4561	3965	3820	2850	3051	3279	2893	3113	3901	2498	2651	4148	2798	3108	3783	3623	3084	4360	3854	5043	3717	4267	4264	2865	3105	3991	3611	2622	2740	3176	2976
gene-HI_0072	2091	2391	2432	2320	2128	1710	2002	2160	1977	1720	1982	1111	1629	2429	1339	1759	1898	1609	1426	2137	687	2290	2005	2151	2311	1469	1468	2248	2030	1456	1407	1701	1352
gene-HI_0071	4080	4784	5877	3026	3568	3132	3015	3012	2950	4434	3328	2415	4493	5495	3351	1904	1842	1836	2281	2315	1537	8502	6666	4002	6612	3719	6925	2986	3126	2258	2311	2683	2563
gene-HI_0073	1063	1102	1114	944	854	685	816	782	694	872	860	528	1001	1452	693	970	931	683	817	1079	286	1319	1016	915	1364	781	781	1324	1096	801	884	921	757
gene-HI_0074	1058	1285	1191	1131	1125	866	1001	970	920	839	890	726	434	1403	877	1063	604	980	911	1245	1032	1576	550	1391	1230	402	911	1033	693	1057	984	696	938
